fight,f1_color,f2_color,notes
Amanda Nunes vs Ronda Rousey,Black,Blue,
Carlos Prates vs Leon Edwards,Black,White,
Diego Lopes vs Jean Silva,Black,Green,
Ilia Topuria vs Charles Oliveira,Red,Black,Both pants have spaciel design
Jon Jones vs Daniel Cormier 2,Black,White,
Josh Hokit vs Curtis Blaydes,Black,White,
Joshua Van vs Brandon Royval,White,Black,
Paddy Pimblett vs Michael Chandler,Black,Red,
Rafael Fiziev vs Ignacio Bahamondes,Black,Red,
TJ Dillashaw vs Cody Garbrandt 1,Black,Blue,
Yoel Romero vs Paulo Costa,Red,Black,
